Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B_2_4_1	67.82471470050515	55.0	150.0	18.181818181818183	31844345.0
B_2_4_2	68.00620101180967	55.0	150.0	9.090909090909092	31844345.0
B_2_5_1	70.9418368297168	55.0	150.0	9.090909090909092	42839526.0
B_2_5_2	70.95028418172286	55.0	150.0	9.090909090909092	42839526.0
B_2_6_1	70.0812848812333	55.0	150.0	9.090909090909092	41825000.0
B_2_6_2	69.79829288468724	55.0	150.0	9.090909090909092	41825000.0
B_2_8_1	67.813846107667	55.0	150.0	9.090909090909092	38595587.0
B_2_8_2	67.75303974587699	56.0	150.0	9.090909090909092	38595587.0
B_2_9_1	69.03690784425044	55.0	150.0	9.090909090909092	38160849.0
B_2_9_2	69.07719476621327	56.0	150.0	9.090909090909092	38160849.0
B_3_10_1	70.87249373771812	54.0	150.0	9.090909090909092	34737480.0
B_3_10_2	71.48675345713644	55.0	150.0	9.090909090909092	34737480.0
B_3_11_1	77.37421503326158	55.0	150.0	9.090909090909092	58496505.0
B_3_11_2	77.49026729332438	55.0	150.0	9.090909090909092	58496505.0
B_3_12_1	71.19255097475828	55.0	150.0	18.181818181818183	40028400.0
B_3_12_2	75.80416785401431	55.0	150.0	9.090909090909092	40028400.0
B_3_13_1	70.09556363205857	56.0	150.0	18.181818181818183	44311577.0
B_3_13_2	75.51280879625432	56.0	150.0	9.090909090909092	44311577.0
B_3_14_1	68.21703379411034	55.0	150.0	18.181818181818183	42679197.0
B_3_14_2	73.54784199476407	55.0	150.0	9.090909090909092	42679197.0
B_3_15_1	74.2308540197346	55.0	150.0	18.181818181818183	47212184.0
B_3_15_2	74.4987742032522	56.0	150.0	9.090909090909092	47212184.0
B_3_16_1	69.09894977910781	55.0	150.0	27.27272727272727	41752431.0
B_3_16_2	74.09157917095492	55.0	150.0	9.090909090909092	41752431.0
B_3_17_1	70.25699292351008	55.0	150.0	27.27272727272727	41144847.0
B_3_17_2	75.4776505434852	55.0	150.0	9.090909090909092	41144847.0
B_3_18_1	70.0200578575716	55.0	150.0	27.27272727272727	46452113.0
B_3_18_2	75.19924864231942	56.0	150.0	9.090909090909092	46452113.0
B_3_19_1	66.65375740806473	56.0	150.0	18.181818181818183	40848062.0
B_3_19_2	71.40461222717161	56.0	150.0	9.090909090909092	40848062.0
B_3_20_1	69.68320306462823	55.0	150.0	18.181818181818183	47099051.0
B_3_20_2	74.79631105336463	56.0	150.0	9.090909090909092	47099051.0
B_3_21_1	69.34924688048267	55.0	150.0	18.181818181818183	44199298.0
B_3_21_2	74.51827401054207	56.0	150.0	9.090909090909092	44199298.0
B_3_22_1	70.57615449422167	55.0	150.0	18.181818181818183	42153206.0
B_3_22_2	74.94277063905999	55.0	150.0	9.090909090909092	42153206.0
B_3_23_1	72.0119271899948	55.0	150.0	18.181818181818183	43969735.0
B_3_23_2	76.49483133761345	56.0	150.0	9.090909090909092	43969735.0
B_3_24_1	69.12265228728052	55.0	150.0	18.181818181818183	37908176.0
B_3_24_2	73.40102355640906	56.0	150.0	9.090909090909092	37908176.0
B_3_25_1	65.2478931308498	56.0	150.0	18.181818181818183	38646494.0
B_3_25_2	70.3983089594902	56.0	150.0	9.090909090909092	38646494.0
B_3_26_1	66.6116473714263	55.0	150.0	18.181818181818183	38397043.0
B_3_26_2	71.21216049480283	56.0	150.0	9.090909090909092	38397043.0
B_3_27_1	68.45325452058248	55.0	150.0	18.181818181818183	42872800.0
B_3_27_2	73.31304182387908	55.0	150.0	9.090909090909092	42872800.0
B_3_28_1	68.65630826907622	55.0	150.0	18.181818181818183	39412393.0
B_3_28_2	73.63323623643846	56.0	150.0	9.090909090909092	39412393.0
