Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B_1_38_2	B_1_38_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32742345.0	0.0	150.0	56.0	33.13414990785512	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_39_1	B_1_39_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33500344.0	0.0	150.0	56.0	29.135254525131195	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	warn
B_1_39_2	B_1_39_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33500344.0	0.0	150.0	57.0	31.64005642780017	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
B_1_3_1	B_1_3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39897235.0	0.0	150.0	55.0	30.121005245325318	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_3_2	B_1_3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39897235.0	0.0	150.0	56.0	25.61600342782624	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
B_1_40_1	B_1_40_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38355390.0	0.0	150.0	56.0	36.08096826162965	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_1_40_2	B_1_40_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38355390.0	0.0	150.0	56.0	36.33094301078442	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_1_41_1	B_1_41_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41829230.0	0.0	150.0	55.0	34.871820193772535	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_1_41_2	B_1_41_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41829230.0	0.0	150.0	56.0	34.16831398859658	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_1_42_1	B_1_42_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38522133.0	0.0	150.0	55.0	32.91946750411087	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
B_1_42_2	B_1_42_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38522133.0	0.0	150.0	55.0	31.432865100760132	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	warn
B_1_4_1	B_1_4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35113186.0	0.0	150.0	55.0	32.21483554550135	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_4_2	B_1_4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35113186.0	0.0	150.0	56.0	27.53856520590387	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_5_1	B_1_5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46952000.0	0.0	150.0	55.0	30.337830467075932	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
B_1_5_2	B_1_5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46952000.0	0.0	150.0	55.0	24.696444746025108	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
B_1_6_1	B_1_6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40820068.0	0.0	150.0	55.0	31.617182302840845	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_6_2	B_1_6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40820068.0	0.0	150.0	56.0	27.2287767924411	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_8_1	B_1_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36748293.0	0.0	150.0	55.0	22.978489378498438	150.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
B_1_8_2	B_1_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36748293.0	0.0	150.0	55.0	19.267030971456823	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
B_1_9_1	B_1_9_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42949335.0	0.0	150.0	55.0	30.468360307182497	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
B_1_9_2	B_1_9_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42949335.0	0.0	150.0	55.0	25.395576971869673	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_2_10_1	B_2_10_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44180340.0	0.0	150.0	55.0	29.750524578580624	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
B_2_10_2	B_2_10_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44180340.0	0.0	150.0	55.0	29.335192565024474	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_2_11_1	B_2_11_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32748218.0	0.0	150.0	55.0	32.07584199718311	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_2_11_2	B_2_11_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32748218.0	0.0	150.0	56.0	31.504848747697174	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_2_12_1	B_2_12_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36642698.0	0.0	150.0	55.0	29.68128423061911	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
B_2_12_2	B_2_12_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36642698.0	0.0	150.0	56.0	31.920708362032585	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
B_2_13_1	B_2_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29563004.0	0.0	150.0	56.0	33.91023144237398	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
B_2_13_2	B_2_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29563004.0	0.0	150.0	56.0	33.234261112268264	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
B_2_14_1	B_2_14_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42521579.0	0.0	150.0	55.0	24.95120191770422	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_2_14_2	B_2_14_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42521579.0	0.0	150.0	56.0	25.734482405717895	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_2_15_1	B_2_15_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35879600.0	0.0	150.0	55.0	31.130146786007167	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_2_15_2	B_2_15_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35879600.0	0.0	150.0	56.0	30.60644427544526	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
B_2_16_1	B_2_16_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42239432.0	0.0	150.0	55.0	25.601115346201535	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
B_2_16_2	B_2_16_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42239432.0	0.0	150.0	55.0	25.534622779660214	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
B_2_17_1	B_2_17_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37917973.0	0.0	150.0	54.0	25.770811327550515	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
